asuult,,,,,,,,,,,,,,,angilal,,,,On,
Дугаарлалтанд үсэг-цифрийн форматыгашиглана,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Үйл ажиллагааны тоо хэмжээнээс шууд хамаардаг зардлыг шууд бус зардал гэнэ,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Нөхөгдөшгүй зардал – Ирээдүйд үүсэх зардал,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Хязгаарлагдмал нөөцийг ашиглахтай холбоотойгоор алдагдсан боломжийн зардал үүсдэг,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Амьдралын мөчлөг нь ерөнхий гурван хугацааны интервалд хуваагдан,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Хөрөнгө оруулалтын зардал нь худалдан авалтын үе шатанд хийгдэх ихэнх үйл ажиллагаанд шаардлагатай хөрөнгө юм. ,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Дугаарлалтын тоон схемийг ховор хэрэглэнэ,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
 Зөв томъёо хаана байна вэ,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
 Зөв томъёогоор хэрхэн бодох вэ,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
 Зөв томъёог  хас,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
 Зөв томъёог   сонго,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Зөв томъёог   ол,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Зөв томъёог  тодорхойл,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Зөв томъёог  үзүүл,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Зөв томъёог  жагсаа,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Зөв томъёог   тохируул,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Зөв томъёог   нэрлэ,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
Зөв томъёог   холбо,,,,,,,,,,,,,,,Сэргээн санах,,,,1,
