,asuult,angilal,on
,Салаа тус бүрийн гүйдлийг тодорхой,Сэргээн санах,1
,"Хэлхээний нийт эсэргүүцэл, гүйдэл, чадлыг мөн салаа тус бүрийн гүйдлүүдийг тодорхойл ",Сэргээн санах,1
,Шилжилтийн процессыг тооцоолоход сонгодог аргыг хэрэглэхэд дифференциал тэгшитгэлийн зэрэг ихсэхэд улам хэцүү болдог тул Лапласын хувиргалтыг хэрэглэдэг.  ,Сэргээн санах,1
,Дифференциал ба интегралын теорем нь комплекс хувьсагч р оператораар тодорхойлогддог,Сэргээн санах,1
, Төвлөрсөн параметртэй цахилгаан хэлхээний хувьд түүний элементүүдийн оролт гаралтын гүйдлүүд ялгаатай буюу энергийн алдагдалтай байна.  ,Сэргээн санах,1
,"r,L,C,g- нь шугамын анхдагч параметрүүд мөн",Сэргээн санах,1
,"Ойсон долгионоос болж шугамын зарим цэг дээр гүйдэл, хүчдэл ихсэх багасах хэлбэлзэл үүсдэг",Сэргээн санах,1
, Фазын коэффициент нь давтамжаар хязгаарлагддаггүй. ,Сэргээн санах,1
,"Шугамаар дамжиж байгаа дохионы энерги нь цахилгаан, соронзон орнуудын энергийн нийлбэрээс тогтдог.",Сэргээн санах,1
,Харилцан адил байх зарчим биелэгдэх дөрвөн туйлтыг эргэх дөрвөн туйлт гэнэ,Сэргээн санах,1
,Дөрвөн туйлтын ажиллагааны ачаалалтай болон ачаалалгүй гэсэн 2 горим байдаг.,Сэргээн санах,1
,Дөрвөн туйлтын ажиллагааны хэт ачаалалтай горимын үед ZH=0 байна.,Сэргээн санах,1
,Лапласын хувиргалтын тодорхойлолт ,Сэргээн санах,1
,Илтгэгч функцийн дүрслэлийг бодож ол. ,Сэргээн санах,1
,Шугаман дөрвөн туйлт гэж юуг хэлэх вэ? ,Сэргээн санах,1
,"Г хэлбэрийн шүүр 𝑍1,𝑍2 нь ижил шинж тэмдэгтэй бол дамжуулах зурвас ямар байх вэ?",Сэргээн санах,1
,Энгийн дөрвөн туйлтыг нэрлэх ,Сэргээн санах,1
,Дүрслэлийн хожимдолтын теоремыг сонго.,Сэргээн санах,1
,Лапласын урвуу хувиргалтын томъёог сонгоно уу.,Сэргээн санах,1
,Оператор хэлбэрт ОМ-н хуулийг бич. ,Сэргээн санах,1
,Төвлөрсөн параметртай хэлхээний онцлог ялгаа нь юу вэ?,Сэргээн санах,1
, Нэгэн төрлийн шугамын анхдагч параметрүүд юунаас хамаарах вэ? ,Сэргээн санах,1
,Ойгч долгион гэж юуг хэлэх вэ?,Сэргээн санах,1
,Шугамын хоёрдагч параметрийг нэрлэх.,Сэргээн санах,1
, Ямар шугамыг гажуудалгүй шугам гэж нэрлэх вэ? ,Сэргээн санах,1
,"Алдалгүй шугамын эцэст бол шугамаар дамжиж байгаа энергийн хэмжээ, хаана 
зарцуулагдах вэ?                                       ",Сэргээн санах,1
,Цахилгаан хэлхээний анализийн бодлогод ,Сэргээн санах,1
,Дөрвөн туйлтын холболтыг тодорхойл,Сэргээн санах,1
,Цахилгаан хэлхээний синтезийн бодлого хэрэгжүүлэх аргаасаа ,Сэргээн санах,1
,Цахилгаан хэлхээний синтезийн бодлогын төгсгөлд,Сэргээн санах,1
,RC RL  LC хоёр туйлтын энергетик функц,Сэргээн санах,1
,p=0  цэгт RL    хоёр туйлтын оролтын функцын утга  бодит утгатай байвал энэ цэгийн ойролцоо  хамгийн эхлээд функцийн,Сэргээн санах,1
,Өгөгдсөн   функцээс   RC  хоёр туйлтын функцийг ол,Сэргээн санах,1
,Дараах характеристикуудаас  LC  хоёр туйлтын характеристикийг ол,Сэргээн санах,1
,Дөрвөн  туйлтын дамжуулалтын функцийн тэгүүд  комплекс хавтгайн ,Сэргээн санах,1
,Гүүрэн дөрвөн туйлтын цуваа мөрийн эсэргүүцэл,Сэргээн санах,1
, Максвелийн систем тэгшитгэлийг дифференциал хэлбэрт бичиж физик утгыг тайлбарла,Сэргээн санах,1
,Цахилгаан соронзон долгион тархалтыг вибратор дээр Максвеллийн I ба II тэгшитгэл ашиглаж тайлбарлан бичнэ үү?,Сэргээн санах,1
,Максвеллийн систем тэгшитгэлээс долгионы тэгшитгэлийн гаргалгааг Н вектороор  дамжуулагч орчинд хийнэ үү?  Хөндлөнгийн гүйдлийнүүсгүүр агуулаагүй гэж үз.,Сэргээн санах,1
,"1   үед зэс кабель шугамын орчинд үүсэх цахилгаан орны хүчлэг (E), соронзон орны хүчлэг (H) векторуудын хүчний шугам, Пойтенгийн векторыг зурж үзүүлнэ үү?",Сэргээн санах,1
, А ба В талын алинд хөндлөнгийн гүйдлийн үүсгүүр байгааг тодорхойлж зурна уу?. ,Сэргээн санах,1
,томъёогоор Максвеллийн I тэгшитгэлээр бичигдсэн байвал энэ тэгшитгэл ямар орчинд  бичигдсэн болохыг тодорхойлж бич?. ,Сэргээн санах,1
,Тэгш өнцөгт долгион хөтлүүр Х тэнхлэгийн дагуу тархах  H  долгионы проекцыг бичнэ үү? ,Сэргээн санах,1
,"хоёр векторын нийлбэр, ялгаварыг    M{1,2,1} цэгт тодорхойл.",Ойлгох,2
,"Вибраторын  цацаргалтын эсэргүүцэл 78 ом,  вибраторын мөрөөр гүйх гүйдэл Ix=200А бол цацаргалтын чадлыг олно уу",Ойлгох,2
,Бодлого  31-ийн хувьд (E01 )  долгионы эсэргүүцэл 01 E äZ [Ом]-ийг тодорхойлно уу.,Ойлгох,2
,Бодлого  31-ийн хувьд долгионы эсэргүүцэл 01 H äZ [Ом]-ийг тодорхойлно уу.,Ойлгох,2
,Бодлого  31-ийн нөхцлөөр (H01) долгион нь долгион хөтлүүрээр тархах уу?,Ойлгох,2
,"Нэг км урт кабель шугамын нөлөөмж 3 0 10 75.0  L Гн/км, багтаамж 9 0 10 35  C Ф/км гэж өгөгджээ. Тухайн кабелиар тархах фазын хурд ô V [км/сек]ийг тодорхойлно уу?",Ойлгох,2
